City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
0,Bredasdorp,-34.5322,20.0403,53.17,88,99,4.12,light rain,ZA,2022-08-06 05:09:11
1,Ilulissat,69.2167,-51.1,44.62,100,100,4.61,overcast clouds,GL,2022-08-06 05:09:11
2,Puerto Ayora,-0.7393,-90.3518,69.55,93,77,8.01,broken clouds,EC,2022-08-06 05:09:12
3,Albany,42.6001,-73.9662,74.03,90,79,2.95,broken clouds,US,2022-08-06 05:09:12
4,Bluff,-46.6,168.3333,57.79,72,32,12.77,light rain,NZ,2022-08-06 05:09:13
5,Dengfeng,34.4553,113.0281,95.83,44,7,10.71,clear sky,CN,2022-08-06 05:09:13
6,East London,-33.0153,27.9116,58.96,74,20,8.84,few clouds,ZA,2022-08-06 05:08:07
7,Cockburn Town,21.4612,-71.1419,81.66,76,20,21.7,few clouds,TC,2022-08-06 05:09:14
8,Faanui,-16.4833,-151.75,77.14,79,74,24.65,moderate rain,PF,2022-08-06 05:09:15
9,Saint-Philippe,-21.3585,55.7679,70.21,64,7,9.69,clear sky,RE,2022-08-06 05:09:16
10,Atuona,-9.8,-139.0333,77.56,72,10,15.77,clear sky,PF,2022-08-06 05:09:16
11,Araguaina,-7.1911,-48.2072,75.87,65,75,1.45,broken clouds,BR,2022-08-06 05:09:17
12,Airai,-8.9266,125.4092,75.69,50,42,3.87,scattered clouds,TL,2022-08-06 05:09:18
13,Saurimo,-9.6608,20.3916,57.96,47,48,4.54,scattered clouds,AO,2022-08-06 05:09:18
14,Busselton,-33.65,115.3333,58.89,62,99,14.18,overcast clouds,AU,2022-08-06 05:09:19
15,Kavieng,-2.5744,150.7967,83.66,68,75,1.57,broken clouds,PG,2022-08-06 05:09:19
16,Sorland,67.667,12.6934,53.46,90,95,26.96,light rain,NO,2022-08-06 05:09:20
17,Sampit,-2.5333,112.95,89.4,51,78,4.09,broken clouds,ID,2022-08-06 05:09:20
18,Tiarei,-17.5333,-149.3333,77.02,81,67,29.06,light rain,PF,2022-08-06 05:09:21
