City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,7/31/2022 23:03,42.6001,-73.9662,79.21,61,99,4.29
1,Naze,JP,7/31/2022 23:03,28.3667,129.4833,80.51,84,100,20.71
2,Qaanaaq,GL,7/31/2022 23:03,77.484,-69.3632,46.33,60,66,1.41
3,Atuona,PF,7/31/2022 23:03,-9.8,-139.0333,76.87,75,12,14.5
4,Ribeira Grande,PT,7/31/2022 23:03,38.5167,-28.7,74.12,73,16,2.91
5,Khilok,RU,7/31/2022 23:03,51.3674,110.4676,59.81,88,65,3.13
6,Pemberton,CA,7/31/2022 23:03,50.3164,-122.8027,95.32,20,1,6.42
7,Sao Joao Da Barra,BR,7/31/2022 23:03,-21.6403,-41.0511,67.42,71,2,6.87
8,Puerto Ayora,EC,7/31/2022 23:03,-0.7393,-90.3518,72.55,87,85,5.99
9,Golyshmanovo,RU,7/31/2022 23:03,56.3979,68.3728,58.8,97,95,8.32
10,Nioro,GM,7/31/2022 23:03,13.35,-15.75,71.89,94,100,6.87
11,Margate,GB,7/31/2022 23:03,51.3813,1.3862,67.3,90,97,1.99
12,Male,MV,7/31/2022 23:03,4.1748,73.5089,78.89,80,100,30.89
13,Coihaique,CL,7/31/2022 23:03,-45.5752,-72.0662,38.01,70,100,6.91
14,Ponta Do Sol,PT,7/31/2022 23:03,32.6667,-17.1,72.01,78,3,2.37
15,Mataura,NZ,7/31/2022 23:03,-46.1927,168.8643,46.47,86,24,5.75
16,Vaini,TO,7/31/2022 23:03,-21.2,-175.2,80.76,89,75,8.05
17,Sibolga,ID,7/31/2022 23:03,1.7427,98.7792,75.74,87,100,3.36
18,New Norfolk,AU,7/31/2022 23:03,-42.7826,147.0587,49.91,84,99,5.99
19,Rikitea,PF,7/31/2022 23:03,-23.1203,-134.9692,72.18,74,100,22.57
20,Nikolskoye,RU,7/31/2022 23:03,59.7035,30.7861,57.09,82,100,3.6
21,North Bend,US,7/31/2022 23:01,43.4065,-124.2243,74.25,91,75,8.05
22,Fortuna,US,7/31/2022 23:03,40.5982,-124.1573,68.94,78,0,9.22
23,Thompson,CA,7/31/2022 23:01,55.7435,-97.8558,70.48,33,95,0.87
24,Huilong,CN,7/31/2022 23:03,31.8111,121.655,82.92,86,3,10.02
25,Portland,US,7/31/2022 23:00,45.5234,-122.6762,102.47,32,6,8.01
26,Maposeni,TZ,7/31/2022 23:03,-10.5833,35.4,62.89,58,39,2.8
27,San Quintin,MX,7/31/2022 23:03,30.4833,-115.95,76.17,60,26,10.27
28,Ust-Shonosha,RU,7/31/2022 23:03,61.1531,41.343,51.49,96,54,4.92
29,Parakou,BJ,7/31/2022 23:03,9.3372,2.6303,70.74,95,88,5.84
30,Thanh Hoa,VN,7/31/2022 22:59,19.8,105.7667,79.14,91,83,0.92
31,Montepuez,MZ,7/31/2022 22:58,-13.1256,38.9997,62.55,80,52,4.61
32,Chilca,PE,7/31/2022 23:03,-12.5211,-76.7372,60.48,84,19,7.96
33,Saint George,US,7/31/2022 23:01,37.1041,-113.5841,87.64,46,20,12.66
34,Srednekolymsk,RU,7/31/2022 23:03,67.45,153.6833,72.95,35,83,14.76
35,Ushuaia,AR,7/31/2022 23:01,-54.8,-68.3,37.35,98,100,4.5
36,Busselton,AU,7/31/2022 23:03,-33.65,115.3333,57.24,91,88,29.62
37,Puerto Carreno,CO,7/31/2022 23:03,6.189,-67.4859,80.33,83,78,1.16
38,Baixo Guandu,BR,7/31/2022 22:59,-19.5189,-41.0158,71.04,70,98,5.84
39,Emba,KZ,7/31/2022 23:03,48.8264,58.1442,73.6,45,57,6.6
40,Valladolid,ES,7/31/2022 23:01,41.5833,-4.6667,74.75,50,0,9.15
41,Vestmannaeyjar,IS,7/31/2022 23:03,63.4427,-20.2734,49.87,74,71,18.45
42,Nishihara,JP,7/31/2022 23:03,26.1842,127.7558,81.68,89,75,9.22
43,Baleshwar,IN,7/31/2022 23:03,21.4942,86.9317,82.74,80,100,9.57
44,Truth Or Consequences,US,7/31/2022 23:03,33.1284,-107.2528,94.91,25,0,13.8
45,Kiama,AU,7/31/2022 23:03,-34.6833,150.8667,61.57,72,82,1.01
46,Pevek,RU,7/31/2022 23:03,69.7008,170.3133,48.78,64,0,12.59
47,Ejido,VE,7/31/2022 23:03,8.5514,-71.2375,69.49,94,99,1.74
48,Torbay,CA,7/31/2022 23:04,47.6666,-52.7314,70.88,74,30,17.11
49,Sitka,US,7/31/2022 23:04,57.0531,-135.33,57.09,88,100,8.05
50,Yellowknife,CA,7/31/2022 23:01,62.456,-114.3525,64.56,45,11,4
51,Khatanga,RU,7/31/2022 23:04,71.9667,102.5,44.76,73,100,7.99
52,Tondano,ID,7/31/2022 23:04,1.3038,124.9112,69.89,87,98,1.54
53,Hami,CN,7/31/2022 23:04,42.8,93.45,81.05,29,50,6.44
54,Sidrolandia,BR,7/31/2022 23:04,-20.9319,-54.9614,72.88,35,3,2.26
55,Narsaq,GL,7/31/2022 23:04,60.9167,-46.05,55.62,80,84,4.09
56,Carndonagh,IE,7/31/2022 23:04,55.25,-7.2667,47.3,88,28,2.86
57,Touros,BR,7/31/2022 23:04,-5.1989,-35.4608,76.08,84,40,13.6
58,Jamestown,US,7/31/2022 23:04,42.097,-79.2353,78.03,49,20,8.05
59,East London,ZA,7/31/2022 23:04,-33.0153,27.9116,54.77,63,5,8.5
60,Dikson,RU,7/31/2022 23:04,73.5069,80.5464,40.87,94,100,14.58
61,Hermanus,ZA,7/31/2022 23:02,-34.4187,19.2345,39.79,72,2,6.64
62,Emmerich,DE,7/31/2022 23:04,51.8333,6.25,68.05,90,61,6.42
63,Cape Town,ZA,7/31/2022 23:04,-33.9258,18.4232,52.92,81,0,5.01
64,Jijiga,ET,7/31/2022 23:04,9.35,42.8,60.89,88,98,20.71
65,Ocean Springs,US,7/31/2022 23:04,30.4113,-88.8278,89.58,69,0,10.36
66,Kununurra,AU,7/31/2022 23:04,-15.7667,128.7333,57.18,77,96,0
67,Tuktoyaktuk,CA,7/31/2022 23:03,69.4541,-133.0374,50.94,74,67,10.85
68,Saskylakh,RU,7/31/2022 23:04,71.9167,114.0833,44.62,82,99,11.3
69,Belison,PH,7/31/2022 23:05,10.8384,121.9605,79.72,82,100,1.45
70,Kiunga,PG,7/31/2022 23:05,-6.1219,141.2906,74.26,98,100,1.77
71,Chernyshevsk,RU,7/31/2022 23:05,52.5243,117.0174,64.99,72,24,4.85
72,Guerrero Negro,MX,7/31/2022 23:04,27.9769,-114.0611,84.18,45,13,13.29
73,Butaritari,KI,7/31/2022 23:05,3.0707,172.7902,81.34,78,58,13.89
